x,y,heading,curvature
2.387468719785342941e+01,-4.618792228380820930e+00,4.974842411713906731e-01,-8.112343662232848751e-02
2.398248899658902644e+01,-4.561040095042200093e+00,4.854364808790234687e-01,-1.161865204389803674e-01
2.409045115827247230e+01,-4.505091158012189290e+00,4.718580308114020405e-01,-6.644678968261492902e-02
2.419850259481636101e+01,-4.450147224555075276e+00,4.715845107459338270e-01,6.195768489134152734e-02
2.430646685050401956e+01,-4.394224846839683174e+00,4.867910486464498421e-01,1.868433881391473039e-01
2.441416348516902701e+01,-4.335295756918658761e+00,5.168882758257964394e-01,3.007399143440209199e-01
2.452141205864493756e+01,-4.271331686844648701e+00,5.606464865834061007e-01,3.959583135393318631e-01
2.462805938501190539e+01,-4.200610665571073987e+00,6.054674756778016809e-01,1.855845350805263583e-01
2.473440083735982853e+01,-4.126451853318639174e+00,6.039444002504114062e-01,-2.096494583575660153e-01
2.484109919860179616e+01,-4.056303546290409123e+00,5.496969686977909442e-01,-6.600130199998428537e-01
2.494882807317348750e+01,-3.997735658391063041e+00,4.338653781019574107e-01,-1.266002833981411779e+00
2.505826106551056043e+01,-3.958318103525276577e+00,2.423511382088165134e-01,-2.045730133475640589e+00
2.517002048334392583e+01,-3.945090885865142560e+00,-5.647000269279965623e-03,-2.045416939958257352e+00
2.528402924106567795e+01,-3.957869074981478441e+00,-2.058269881639120114e-01,-1.437748135019228268e+00
2.539970471827736631e+01,-3.991245420474867078e+00,-3.452692555218446202e-01,-9.046824124076965346e-01
2.551645305471383907e+01,-4.039696560886025800e+00,-4.331633468127634168e-01,-5.088693791283491752e-01
2.563368039010995858e+01,-4.097699134755674599e+00,-4.792329780310213283e-01,-2.076838877257955462e-01
2.575079286420056590e+01,-4.159729780624533468e+00,-4.891560326926662206e-01,5.631551327966539955e-02
2.586719661673931014e+01,-4.220265137134441069e+00,-4.637921436021687494e-01,3.379741903045537232e-01
2.598249686942322256e+01,-4.274852920619031771e+00,-4.205631227745110778e-01,3.376860760060143574e-01
